"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"China","CHN","Agricultural land (sq. km)","AG.LND.AGRI.K2","","3423500","3451000","3479500","3508000","3546000","3582000","3618000","3654000","3700000","3746000","3792500","3838700","3894800","3961000","4007100","4066033.333","4124966.667","4184700","4230375","4276040","4329090","4425180","4529280","4645370","4763470","4824560","4877660","4933750","4994850","5056940","5113790","5143140","5182230","5228330","5228330","5228720","5228722.5","5228725","5228727.5","5228730","5234668.444","5240606.889","5246545.333","5252483.778","5258422.222","5264360.667","5270299.111","5276237.556","5282176","5274623","5267130","5259607","5252084","5244561","5237038","5229515","5221992","5214469","5206950","5206950","5206950","","","",
"Cote d'Ivoire","CIV","Agricultural land (sq. km)","AG.LND.AGRI.K2","","156800","158800","158800","159800","160800","160800","161500","161500","162000","162000","163000","163100","164400","166250","167150","168400","170800","172100","172250","172550","173700","174900","175840","179010","181800","182800","184000","187200","188200","189300","189500","192000","195020","197000","198000","198000","197000","197000","196000","196000","196000","196000","196000","200000","202000","203000","206000","206000","206000","206000","206000","207000","212000","213500","222000","219000","220000","231500","232300","233000","235000","","","",
"Cameroon","CMR","Agricultural land (sq. km)","AG.LND.AGRI.K2","","75100","75700","76200","76800","77400","78000","78700","79200","79700","79780","80280","80950","81600","82800","83950","85100","86440","86710","89120","89300","89600","90100","90600","91100","91600","92300","92100","92100","91900","91700","91500","91600","91600","91600","91600","91600","91600","91600","91600","91600","91600","91600","91600","92100","92130","92130","92130","92630","93130","97000","97500","97500","97500","97500","97500","97500","97500","97500","97500","97500","97500","","","",
"Congo, Dem. Rep.","COD","Agricultural land (sq. km)","AG.LND.AGRI.K2","","250500","250700","251000","251300","251500","251700","252000","252500","253000","253500","254000","254500","255000","255500","255500","256000","256300","256500","256500","257000","257500","257700","258000","258500","259000","259500","259500","259500","259500","259600","259800","260000","260000","260000","258000","258000","257000","257000","256000","256000","255500","255500","255500","255500","255500","255860","256500","257000","268870","284290","296360","308860","314300","322490","324500","326720","333210","335940","338300","338950","338980","","","",
"Congo, Rep.","COG","Agricultural land (sq. km)","AG.LND.AGRI.K2","","105400","105400","105420","105430","105430","105430","105430","105430","105440","105480","105480","105500","105540","105580","105620","105680","105650","105200","105220","105250","105280","105540","105580","105620","105680","105650","105400","105420","105440","105210","105230","105250","105300","105180","105200","105220","105360","105380","105440","105400","105400","105400","105400","105450","105470","105500","105500","105500","105630","105760","105960","106020","106270","106270","106270","106270","106280","106310","106330","106390","106780","","","",
"Colombia","COL","Agricultural land (sq. km)","AG.LND.AGRI.K2","","399700","409720","414930","419950","430080","430200","430230","430250","430300","430300","450540","450680","450840","450990","451150","451300","453150","452610","452770","452920","453080","453230","453390","453560","453750","453950","454010","452830","451830","450830","448840","449830","449030","448650","445130","449200","450820","455430","456680","448590","417450","416070","420510","423910","425570","421740","424360","426140","425400","425030","417210","426176","448156","448000","447844","447688","434870","440480","443540","440522.78","427180","","","",
"Comoros","COM","Agricultural land (sq. km)","AG.LND.AGRI.K2","","950","950","950","950","950","950","950","950","950","950","950","950","950","950","950","950","950","1000","1000","1000","1000","1000","1000","1100","1100","1100","1130","1140","1140","1140","1150","1150","1180","1200","1220","1240","1260","1260","1270","1280","1300","1310","1320","1330","1330","1330","1330","1330","1330","1330","1330","1330","1330","1330","1330","1330","1330","1330","1330","1330","1330","","","",
"Cabo Verde","CPV","Agricultural land (sq. km)","AG.LND.AGRI.K2","","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","670","670","680","680","690","690","690","700","700","720","720","720","720","740","750","750","760","760","760","760","780","780","780","790","790","790","790","790","790","790","790","790","790","790","","","",
"Costa Rica","CRI","Agricultural land (sq. km)","AG.LND.AGRI.K2","","13950","14100","14200","14850","15550","16350","16360","17160","17900","18560","18870","18870","20480","20480","21220","22050","22870","23600","24430","25160","25990","26790","26820","27480","26810","26120","25390","24630","23780","21986","22036.18","21600","21130","20950","20480","19950","19530","19150","18880","18400","18330","18260","18290","18220","18050","18150","18000","17930","18160","18190","18190","18120","18010","17850","17915","17770","17810","17825","17760","17860","18110","","","",
"Caribbean small states","CSS","Agricultural land (sq. km)","AG.LND.AGRI.K2","","17010","17020","17050","17100","17110","17150","17150","17170","17200","17230","17330","17340","17480","17499","17490","17022.417","16574.833","16157.25","15711.667","15217.083","14722.5","14166.917","13551.333","13613","13664.667","13747.333","13870.6","13915.667","14000.733","14124.8","14208.867","14282.933","14368","14351.067","14331.133","14350.2","14311.267","14261.333","14335.4","14363.667","14327.333","14226","14292.667","14207.633","14107","14099.1","14070.2","14078.4","14228.4","14249.4","14269.4","14201.4","14296.4","14341.4","14419.4","14409.4","14399.4","14399.4","14419.4","14439.4","14449.4","14389.4","","",
"Cuba","CUB","Agricultural land (sq. km)","AG.LND.AGRI.K2","","35500","38050","40380","47550","45480","45100","46210","47270","47450","50220","50730","55810","58510","56310","58100","59970","60380","59480","58620","59370","59380","60830","61790","61420","62220","64510","67260","67880","67720","67410","67550","67750","67300","66860","66840","66150","66870","66740","66600","65540","66560","66540","66380","65280","66370","66300","66200","65670","65138","64612","64078","64056","63423","62788.8","62403","62267","63000","63000","64010","64010","64010","","","",
"Curacao","CUW","Agricultural land (sq. km)","AG.LND.AGRI.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Agricultural land (sq. km)","AG.LND.AGRI.K2","","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","","","",
"Cyprus","CYP","Agricultural land (sq. km)","AG.LND.AGRI.K2","","4040","4020","4050","4030","4020","4000","4010","4010","3990","3980","3960","3940","3942","2870","1803","1779","1761","1743","1725","1715","1759","1820","1830","1820","1628","1632","1624","1614","1614","1606","1592","1596","1587","1434","1431","1432","1422","1442","1442","1415","1400","1400","1540","1560","1670","1570","1472","1156","1276","1145","1163","1169","1088.3","1089.8","1266.8","1093.9","1214.2","1324.469","1253.284","1276.493","1231.349","","","",
