Year,Sown_Acres,Sown_Ha,Harvested_Acres,Harvested_Ha,Avg_Yield_Bushels_Acre,Avg_Yield_Kg_Ha,Production_Bushels,Production_Mt,season,Sown_to_Harvest_Ratio,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,Population,Population_Growth_Rate,Inflation,Missing_Rainfall,Prev_Yield,Prev_Rainfall,Crisis_Indicator
1986,1255,508,1069,433,71.33,3678,66741,1392,Maha,0.8523622047244095,49.43367264537815,64.50506032282912,146.51196874033613,193.14594800420167,432.3786668345938,575.0589468879551,89.08340350784314,15731256.0,0.0120368081788175,7.97636193570627,0,3585.0,64.50506032282912,0
1986,840,340,762,308,63.76,3287,43139,900,Yala,0.9058823529411764,27.58497216430588,43.15622566074509,83.2715348129608,129.96097507040392,287.12494354607844,394.66575780058827,70.99121657058824,15731256.0,0.0120368081788175,7.97636193570627,0,3343.0,43.15622566074509,0
1987,1346,545,1232,499,66.71,3440,73077,1525,Maha,0.9155963302752294,48.774579272605045,64.50506032282912,145.702612970028,193.14594800420167,410.6163381415967,575.0589468879551,71.37090108473389,15916576.0,0.0117803689673603,7.71716560559269,0,3678.0,64.50506032282912,1
1987,676,273,608,246,65.2,3362,35246,735,Yala,0.9010989010989012,27.357588433325493,43.15622566074509,85.43949559117647,129.96097507040392,251.16795087843136,394.66575780058827,69.50244251176471,15916576.0,0.0117803689673603,7.71716560559269,0,3287.0,43.15622566074509,1
1988,1159,469,1087,440,66.5,3429,64343,1342,Maha,0.9381663113006397,43.848247564425776,64.50506032282912,137.8094270872549,193.14594800420167,460.8727198137255,575.0589468879551,76.17204643613445,16078621.0,0.0101808956901283,13.9915489002075,0,3440.0,64.50506032282912,1
1988,799,323,783,317,65.37,3370,45627,952,Yala,0.9814241486068112,46.87145738579412,43.15622566074509,131.06553149267253,129.96097507040392,368.6629216164706,394.66575780058827,115.16708509411764,16078621.0,0.0101808956901283,13.9915489002075,0,3362.0,43.15622566074509,1
1989,1303,527,1283,516,69.13,3564,78968,1647,Maha,0.9791271347248576,46.812666551540616,64.50506032282912,140.69035729285713,193.14594800420167,410.6981024593838,575.0589468879551,75.84532642647059,16248557.0,0.0105690655933738,11.5675360890558,0,3429.0,64.50506032282912,1
1989,638,258,617,250,63.6,3279,34573,721,Yala,0.9689922480620154,33.415297513460786,43.15622566074509,100.59657527045098,129.96097507040392,305.5330540986274,394.66575780058827,79.77888317058823,16248557.0,0.0105690655933738,11.5675360890558,0,3370.0,43.15622566074509,1
1990,1237,501,1193,483,70.21,3620,74485,1554,Maha,0.9640718562874252,62.38258770028011,64.50506032282912,171.62747086890758,193.14594800420167,463.1114750532213,575.0589468879551,97.29771979789916,16352458.0,0.006394475521734,21.495252052759,0,3564.0,64.50506032282912,0
1990,806,326,763,309,63.35,3266,42706,891,Yala,0.9478527607361964,37.403401998666666,43.15622566074509,120.45874424582352,129.96097507040392,369.2654781486275,394.66575780058827,90.0569681627451,16352458.0,0.006394475521734,21.495252052759,0,3279.0,43.15622566074509,0
